Rank,Team,Conference,Record,Rating,H2H Adjustment,SOR Score,SOS Score,Win Resume,Loss Quality,Margin Score,Vegas Score,Conference Score,Location Win Score,Explanation
1,Indiana,Big Ten,13-0,96.91,0.75,100.0,68.4,99.8,100.0,98.5,100.0,81.98529411764706,100.0,"13-0 record; strengths: SOR #1, Loss Quality #1, Vegas #1; biggest weakness: SOS #44; head-to-head boost"
2,Ohio State,Big Ten,12-1,92.67,-0.75,98.5,77.2,94.5,80.9,99.3,86.0,81.98529411764706,98.52941176470588,"12-1 record; strengths: Margin #2, SOR #3, Location Wins #3; biggest weakness: SOS #32; head-to-head penalty"
3,Georgia,SEC,12-1,91.74,0.75,99.3,74.3,96.0,65.6,93.4,55.9,94.48529411764706,99.26470588235294,"12-1 record; strengths: SOR #2, Location Wins #2, Win Resume #5; biggest weakness: Vegas #61; head-to-head boost"
4,Texas Tech,Big 12,12-1,91.05,0.75,97.1,52.2,94.9,73.4,100.0,98.5,69.48529411764706,97.79411764705883,"12-1 record; strengths: Margin #1, Vegas #3, Location Wins #4; biggest weakness: SOS #66; head-to-head boost"
5,BYU,Big 12,11-2,89.77,-0.75,97.8,89.7,97.1,52.3,80.9,91.9,69.48529411764706,97.05882352941177,"11-2 record; strengths: SOR #4, Win Resume #3, Location Wins #5; biggest weakness: Loss Quality #47; head-to-head penalty"
6,Oklahoma,SEC,10-2,88.11,0.0,94.1,89.0,96.7,53.6,83.5,62.5,94.48529411764706,94.11764705882352,"10-2 record; strengths: Win Resume #4, SOR #9, Location Wins #9; biggest weakness: Loss Quality #43"
7,Ole Miss,SEC,11-1,87.65,0.0,95.6,50.0,94.0,77.6,89.7,75.0,94.48529411764706,90.44117647058823,"11-1 record; strengths: SOR #7, Win Resume #8, Location Wins #14; biggest weakness: SOS #69"
8,Oregon,Big Ten,11-1,87.1,0.0,94.9,49.3,94.0,64.7,94.9,84.6,81.98529411764706,92.64705882352942,"11-1 record; strengths: SOR #8, Margin #8, Win Resume #9; biggest weakness: SOS #70"
9,Alabama,SEC,10-3,87.08,0.0,93.4,88.2,98.6,57.1,77.9,56.6,94.48529411764706,94.85294117647058,"10-3 record; strengths: Win Resume #2, Location Wins #8, SOR #10; biggest weakness: Vegas #60"
10,Texas A&M,SEC,11-1,86.39,0.75,96.3,47.8,90.4,67.1,90.4,55.1,94.48529411764706,93.38235294117648,"11-1 record; strengths: SOR #6, Location Wins #10, Margin #14; biggest weakness: SOS #72; head-to-head boost"
11,Miami,ACC,10-2,85.32,0.75,92.6,56.6,91.7,62.6,96.3,77.9,57.35294117647059,89.70588235294117,"10-2 record; strengths: Margin #6, SOR #11, Win Resume #10; biggest weakness: SOS #60; head-to-head boost"
12,Notre Dame,FBS Independents,10-2,83.66,-0.75,89.0,61.8,90.6,71.6,97.8,81.6,39.338235294117645,91.17647058823529,"10-2 record; strengths: Margin #4, Location Wins #13, Win Resume #12; biggest weakness: SOS #53; head-to-head penalty"
13,Vanderbilt,SEC,10-2,81.73,-0.75,91.2,39.0,80.3,68.1,91.9,99.3,94.48529411764706,83.82352941176471,"10-2 record; strengths: Vegas #2, Margin #12, SOR #13; biggest weakness: SOS #84; head-to-head penalty"
14,USC,Big Ten,9-3,80.25,0.0,83.1,73.5,80.2,70.0,86.0,69.9,81.98529411764706,87.5,"9-3 record; strengths: Location Wins #18, Margin #20, SOR #24; biggest weakness: Vegas #42"
15,South Florida,American Athletic,9-3,80.24,0.75,86.0,59.6,82.9,59.4,94.1,97.8,45.955882352941174,78.67647058823529,"9-3 record; strengths: Vegas #4, Margin #9, SOR #20; biggest weakness: Loss Quality #20; head-to-head boost"
16,Utah,Big 12,10-2,79.46,0.0,89.7,43.4,69.2,57.0,97.1,97.1,69.48529411764706,82.35294117647058,"10-2 record; strengths: Margin #5, Vegas #5, SOR #15; biggest weakness: SOS #78"
17,Virginia,ACC,10-3,79.01,0.0,86.8,41.9,86.2,59.7,82.4,82.4,57.35294117647059,88.97058823529412,"10-3 record; strengths: Location Wins #16, SOR #19, Win Resume #20; biggest weakness: SOS #80"
18,James Madison,Sun Belt,12-1,78.86,0.0,91.9,25.0,65.7,60.3,95.6,94.9,23.897058823529413,95.58823529411765,"12-1 record; strengths: Margin #7, Location Wins #7, Vegas #8; biggest weakness: SOS #103"
19,North Texas,American Athletic,11-2,78.84,-1.5,90.4,42.6,78.6,43.8,92.6,95.6,45.955882352941174,91.91176470588235,"11-2 record; strengths: Vegas #7, Margin #11, Location Wins #12; biggest weakness: SOS #79; head-to-head penalty"
20,Arizona,Big 12,9-3,78.7,0.75,85.3,55.1,77.3,56.4,87.9,94.1,69.48529411764706,79.41176470588235,"9-3 record; strengths: Vegas #9, Margin #17, SOR #21; biggest weakness: SOS #62; head-to-head boost"
21,Tulane,American Athletic,11-2,78.58,0.75,88.2,37.5,91.6,46.8,72.8,44.9,45.955882352941174,96.32352941176471,"11-2 record; strengths: Location Wins #6, Win Resume #11, SOR #17; biggest weakness: SOS #86; head-to-head boost"
22,Texas,SEC,9-3,76.71,0.0,81.6,57.4,90.5,63.0,74.6,27.9,94.48529411764706,86.76470588235294,"9-3 record; strengths: Win Resume #13, Location Wins #19, SOR #26; biggest weakness: Vegas #99"
23,Illinois,Big Ten,8-4,75.57,0.75,82.4,83.1,89.8,53.1,68.0,30.1,81.98529411764706,75.73529411764706,"8-4 record; strengths: Win Resume #15, SOS #24, SOR #25; biggest weakness: Vegas #96; head-to-head boost"
24,Michigan,Big Ten,9-3,75.14,-0.75,83.8,70.6,75.8,58.1,69.9,36.0,81.98529411764706,88.23529411764706,"9-3 record; strengths: Location Wins #17, SOR #23, Win Resume #34; biggest weakness: Vegas #88; head-to-head penalty"
25,Navy,American Athletic,10-2,73.99,0.0,87.5,44.9,78.0,55.0,60.7,32.4,45.955882352941174,86.02941176470588,"10-2 record; strengths: SOR #18, Location Wins #20, Win Resume #32; biggest weakness: Vegas #93"
26,Arizona State,Big 12,8-4,72.98,0.0,80.9,83.8,89.6,51.1,50.4,25.7,69.48529411764706,81.61764705882352,"8-4 record; strengths: Win Resume #17, SOS #23, Location Wins #26; biggest weakness: Vegas #102"
27,Iowa State,Big 12,8-4,72.66,0.0,77.9,62.5,83.1,57.5,68.0,66.2,69.48529411764706,80.14705882352942,"8-4 record; strengths: Win Resume #22, Location Wins #28, SOR #31; biggest weakness: Loss Quality #27"
28,Georgia Tech,ACC,9-3,72.04,0.75,84.6,35.3,80.3,54.5,71.0,41.2,57.35294117647059,72.05882352941177,"9-3 record; strengths: SOR #22, Win Resume #24, Location Wins #39; biggest weakness: SOS #89; head-to-head boost"
